"00116","笈形焼","おいがたやき","イベント","山梨県","笛吹市","春日居町地内"
"00117","木造他阿真教上人座象","もくぞうたあしんきょうしょうにんざぞう","見る","山梨県","笛吹市","御坂町上黒駒2964 称願寺"
"00118","木造吉祥天女座像と二天立象","もくぞうきちじょうてんにょざぞうとにてんりつぞう","見る","山梨県","笛吹市","御坂町大野寺2019-1 福光園寺"
"00119","木造大物主神立像","もくぞうおおものぬしのみことりつぞう","見る","山梨県","笛吹市","御坂町二之宮1450-1 美和神社"
"00120","星石","ほしいし","見る","山梨県","笛吹市","御坂町竹居3277"
"00121","智光寺","ちこうじ","見る","山梨県","笛吹市","境川町藤垈322"
"00122","武田信重の墓","たけだのぶしげのはか","見る","山梨県","笛吹市","石和町小石和"
"00123","節婦栗女の墓","せつふくりめのはか","見る","山梨県","笛吹市","一宮町田中408"
"00124","香王観音之像","かおうかんのんぞう","見る","山梨県","笛吹市","御坂町大野寺2027"
"00125","山梨岡神社","やまなしおかじんじゃ","見る","山梨県","笛吹市","春日居町鎮目1690"
"00126","美和神社","みわじんじゃ","見る","山梨県","笛吹市","御坂町二之宮1450"
"00127","福光園寺","ふっこうおんじ","見る","山梨県","笛吹市","御坂町大野寺2027"
"00128","檜峯神社","ひみねじんじゃ","見る","山梨県","笛吹市","御坂町上黒駒5738"
"00129","諏訪南宮神社","すわなんぐうじんじゃ","見る","山梨県","笛吹市","境川町寺尾4022-1"
"00130","慈眼寺","じげんじ","見る","山梨県","笛吹市","一宮町末木336"
"00131","称願寺","しょうがんじ","見る","山梨県","笛吹市","御坂町上黒駒2969"
"00132","聖応寺","しょうおうじ","見る","山梨県","笛吹市","境川町大黒板1090"
"00133","佐久神社","さくじんじゃ","見る","山梨県","笛吹市","石和町河内80番地"
"00134","坊ヶ峯展望台","ぼうがみねてんぼうだい","見る","山梨県","笛吹市","境川町坊ヶ峯"
"00135","三椚熊野神社","みつくぬぎくまのじんじゃ","見る","山梨県","笛吹市","境川町三椚898-1"
"00136","石橋八幡神社","いしばしはちまんじんじゃ","見る","山梨県","笛吹市","境川町石橋2096"
"00137","浅間神社","あさまじんじゃ","見る","山梨県","笛吹市","一宮町一ノ宮1684"
"00138","モンデ酒造","もんでしゅぞう","見る","山梨県","笛吹市","石和町市部476"
"00139","本坊酒造(株)山梨マルスワイナリー","ほんぼうしゅぞう　やまなしまるすわいなりー","見る","山梨県","笛吹市","石和町山崎126"
"00140","青楓美術館","せいふうびじゅつかん","見る","山梨県","笛吹市","一宮町北野呂3-3"
"00141","山梨県立博物館","やまなしけんりつはくぶつかん","見る","山梨県","笛吹市","御坂町成田1501-1"
"00142","笛吹市八代郷土館","ふえふきしやつしろきょうどかん","見る","山梨県","笛吹市","八代町南796"
"00143","宝石庭園　信玄の里","ほうせきていえん　しんげんのさと","見る","山梨県","笛吹市","石和町窪中島122-1"
"00144","釈迦堂遺跡博物館","しゃかどういせきはくぶつかん","見る","山梨県","笛吹市","一宮町千米寺764"
"00145","笛吹市春日居郷土館・小川正子記念館","ふえふきしかすがいきょうどかん・おがわまさこきねんかん","見る","山梨県","笛吹市","春日居町寺本170-1"
"00146","八田家書院・八田御朱印公園","はったけしょいん・はったごしゅいんこうえん","見る","山梨県","笛吹市","石和町八田334"
"00147","御坂町花鳥山","みさかちょうはなとりやま","見る","山梨県","笛吹市","八代町竹居5051"
"00148","甲斐国分寺跡","かいこくぶんじあと","見る","山梨県","笛吹市","笛吹市一宮町国分425-1ほか"
"00149","甲斐国分尼寺跡","かいこくぶにじあと","見る","山梨県","笛吹市","笛吹市一宮町東原646-1ほか"
"00150","姥塚","うばづか","見る","山梨県","笛吹市","御坂町井之上941 南照院境内"
"00151","御坂町桃源郷公園","みさかちょうとうげんきょうこうえん","見る","山梨県","笛吹市","御坂町尾山650"
"00152","御坂路さくら公園","みさかじさくらこうえん","見る","山梨県","笛吹市","御坂町上黒駒5421"
"00153","石和小林公園・足湯「いさわ宿」","いさわこばやしこうえん・あしゆ「いさわじゅく」","見る","山梨県","笛吹市","石和町市部1081"
"00154","釈迦ケ岳","しゃかがたけ","見る","山梨県","笛吹市","芦川町"
"00155","藤垈の滝　大窪いやしの杜公園","ふじぬたのたき　おおくぼいやしのもりこうえん","見る","山梨県","笛吹市","境川町大窪５９７"
"00156","新道峠","しんどうとうげ","見る","山梨県","笛吹市","芦川町上芦川"
"00157","芦川荘","あしがわそう","泊まる","山梨県","笛吹市","芦川町上芦川295"
"00158","すずらん荘","すずらんそう","泊まる","山梨県","笛吹市","芦川町上芦川318"
"00159","民宿相沢","みんしゅくあいざわ","泊まる","山梨県","笛吹市","八代町南330"
"00160","ひみね","ひみね","泊まる","山梨県","笛吹市","御坂町上黒駒4890-1"
"00161","温泉民宿いいだ","おんせんみんしゅくいいだ","泊まる","山梨県","笛吹市","春日居町鎮目203-2"
"00162","ペンション坊ヶ峯","ぺんしょんぼうがみね","泊まる","山梨県","笛吹市","境川町藤垈3220"
"00163","旅館藤苑","りょかんふじえん","泊まる","山梨県","笛吹市","一宮町坪井645"
"00164","旅館一光苑","りょかんいっこうえん","泊まる","山梨県","笛吹市","一宮町坪井304"
"00165","朝日屋","あさひや","泊まる","山梨県","笛吹市","御坂町栗合104"
"00166","温泉ビジネスホテルきぬ川","おんせんびじねすほてるきぬかわ","泊まる","山梨県","笛吹市","石和町川中島1607-31"
"00167","ホテルいこい","ほてるいこい","泊まる","山梨県","笛吹市","松本1042"
"00168","和風旅館峯","わふうりょかんみね","泊まる","山梨県","笛吹市","石和町川中島495-2"
"00169","日本旅館季粋亭松三","にほんりょかんきすいていまつみ","泊まる","山梨県","笛吹市","石和町川中島1607-135"
"00170","ホテルうかい","ほてるうかい","泊まる","山梨県","笛吹市","石和町市部307"
"00171","ホテルくにたち","ほてるくにたち","泊まる","山梨県","笛吹市","石和町川中島４１０"
"00172","富士野屋夕亭","-","泊まる","山梨県","笛吹市","石和町八田286"
"00173","旅館風林閣","りょかんふうりんかく","泊まる","山梨県","笛吹市","石和町松本1442-15"
"00174","草絵の里割烹の宿なかむら","くさえのさとかっぽうのやどなかむら","泊まる","山梨県","笛吹市","石和町川中島1607-271"
"00175","隠れ家の宿多賀野","かくれがのやどたがの","泊まる","山梨県","笛吹市","石和町松本1121"
"00176","温泉旅館いしだ","おんせんりょかんいしだ","泊まる","山梨県","笛吹市","石和町八田5"
"00177","ホテル花京","ほてるかきょう","泊まる","山梨県","笛吹市","石和町川中島１１６"
"00178","ホテル古柏園","ほてるこかしわえん","泊まる","山梨県","笛吹市","石和町市部８２２"
"00179","春日","かすが","泊まる","山梨県","笛吹市","春日居町鎮目22"
"00180","天竜","てんりゅう","泊まる","山梨県","笛吹市","春日居町小松1172"
"00181","加茂川","かもがわ","泊まる","山梨県","笛吹市","春日居町小松1183"
"00182","福泉","ふくせん","泊まる","山梨県","笛吹市","春日居町寺本33-1"
"00183","さつき","さつき","泊まる","山梨県","笛吹市","春日居町寺本5-2"
"00184","旅館日の出温泉","りょかんひのでおんせん","泊まる","山梨県","笛吹市","春日居町鎮目１６４６"
"00185","志げもり","しげもり","泊まる","山梨県","笛吹市","春日居町小松1186"
"00186","囲炉裏焼民芸風旅館大棟苑","いろりやきみんげいふうりょかんだいとうえん","泊まる","山梨県","笛吹市","春日居町小松８５５-１２３"
"00187","チサンイン甲府石和","ちさんいんこうふいさわ","泊まる","山梨県","笛吹市","石和町広瀬1195-54"
"00188","旅館喜仙","りょかんきせん","泊まる","山梨県","笛吹市","石和町川中島482"
"00189","スパランドホテル内藤","すぱらんどほてるないとう","泊まる","山梨県","笛吹市","石和町四日市場1690"
"00190","ホテルルートインコート甲府石和","ほてるるーといんこーとこうふいさわ","泊まる","山梨県","笛吹市","石和町広瀬1195"
"00191","ホテル平成","ほてるへいせい","泊まる","山梨県","笛吹市","石和町市部789-14"
"00192","クア・アンド・ホテル石和健康ランド","くああんどほてるいさわけんこうらんど","泊まる","山梨県","笛吹市","石和町松本868"
"00193","ホテル花いさわ","-","泊まる","山梨県","笛吹市","石和町松本1409"
"00194","笛声","てきせい","泊まる","山梨県","笛吹市","春日居町国府187"
"00195","緑水亭やまぶき","りょくすいていやまぶき","泊まる","山梨県","笛吹市","石和町川中島1607-26"
"00196","ホテル甲子園","-","泊まる","山梨県","笛吹市","石和町市部977-7"
"00197","ホテル春日居","かすがい","泊まる","山梨県","笛吹市","春日居町小松855"
"00198","みさかのバラ","みさかのばら","見る","山梨県","笛吹市","御坂町"
"00199","宝珠寺百番観音","ほうしゅじひゃくばんかんのん","見る","山梨県","笛吹市","芦川町中芦川"
"00200","黒駒勝蔵の碑","くろこまかつぞうのひ","見る","山梨県","笛吹市","御坂町上黒駒"
"00201","かんぽの宿石和","かぽのやどいさわ","泊まる","山梨県","笛吹市","石和町松本348-1"
"00202","春日居町のモモの花","かすがいちょうのもものはな","見る","山梨県","笛吹市","春日居町"
"00203","智光寺のカヤ","ちこうじのかや","見る","山梨県","笛吹市","境川町藤垈322"
"00204","すずらん群生地","すずらんぐんせいち","見る","山梨県","笛吹市","芦川町上芦川2007"
"00205","宗源寺のヒダリマキカヤ","しゅうげんじのひだりまきかや","見る","山梨県","笛吹市","境川町藤垈4771"
"00206","鴬宿峠のナンジャモンジャ","おうしゅくとうげのなんじゃもんじゃ","見る","山梨県","笛吹市","芦川町鴬宿峠頂上"
"00207","ふるさと公園のサクラ","ふるさとこうえんのさくら","見る","山梨県","笛吹市","八代町岡"
